orbit_id,start_n,odd_step_index,is_terminal,n,A,B,C,D,a11,a13,a31,a33,n_mod_3,n_mod_4,n_mod_8,n_mod_16,n_mod_32,n_mod_64,actual_mode,actual_next,actual_direction,missing_down_count,missing_up_count,best_hidden_value,best_hidden_mode,reset_value,sheet_alternative,actual_sheet,alternate_sheet,reset_ratio_num,reset_ratio_den,delta_reset_log2,hidden_ratio_num,hidden_ratio_den,delta_hidden_log2,cum_reset_deficit_before,cum_reset_deficit_after,cum_hidden_deficit_before,cum_hidden_deficit_after,height_g,epsilon,eta,cum_height_g
NAMED_27,27,17,0,445,223,7,167,669,1,6,3,1,1,1,5,13,29,61,"(3,1)",167,FOLD,2,1,7,B,223,669,NON3,MULT3,167,223,-0.41719560744625284,167,7,4.576349370416448,41.74952871492859,41.332333107482334,47.60336725490598,52.17971662532243,-1.413957233379708,1.415037499278844,0.0010802658991358788,2.628816790310584
NAMED_27,27,18,0,167,21,85,251,63,3,1,1,3,2,3,7,7,7,39,"(3,1)",251,UP,3,0,21,A,21,63,NON3,MULT3,251,21,3.5792261311720113,251,21,3.5792261311720113,41.332333107482334,44.91155923865435,52.17971662532243,55.75894275649444,0.5878392614767198,-0.5849625007211561,0.002876760755563661,3.2166560517873037
NAMED_27,27,19,0,251,63,127,377,189,2,1,1,2,2,3,3,11,27,59,"(3,1)",377,UP,3,0,63,A,63,189,NON3,MULT3,377,63,2.581140789768747,377,63,2.581140789768747,44.91155923865435,47.492700028423094,55.75894275649444,58.34008354626319,0.5868771593178923,-0.5849625007211561,0.001914658596736107,3.8035332111051963
NAMED_27,27,20,0,377,189,95,283,567,1,2,2,1,2,1,1,9,25,57,"(3,1)",283,FOLD,2,1,95,B,189,567,NON3,MULT3,283,189,0.5824158186108095,283,95,1.5748026345009345,47.492700028423094,48.075115847033906,58.34008354626319,59.91488618076412,-0.41376247043678194,0.4150374992788439,0.0012750288420617212,3.389770740668414
NAMED_27,27,21,0,283,71,143,425,213,2,1,1,2,1,3,3,11,27,27,"(3,1)",425,UP,3,0,71,A,71,213,NON3,MULT3,425,71,2.581571911520382,425,71,2.581571911520382,48.075115847033906,50.65668775855429,59.91488618076412,62.496458092284506,0.5866607881931818,-0.5849625007211561,0.0016982874720256138,3.976431528861596
NAMED_27,27,22,0,425,213,107,319,639,1,2,2,1,2,1,1,9,9,41,"(3,1)",319,FOLD,2,1,107,B,213,639,NON3,MULT3,319,213,0.5827029935390309,319,107,1.5759456273637218,50.65668775855429,51.23939075209332,62.496458092284506,64.07240371964822,-0.4139064172601947,0.4150374992788439,0.0011310820186490233,3.5625251116014014
NAMED_27,27,23,0,319,5,161,479,15,6,1,1,6,1,3,7,15,31,63,"(3,1)",479,UP,3,0,5,A,5,15,NON3,MULT3,479,5,6.581953750848818,479,5,6.581953750848818,51.23939075209332,57.82134450294214,64.07240371964822,70.65435747049705,0.5864692319713107,-0.5849625007211561,0.00150673125015464,4.148994343572712
NAMED_27,27,24,0,479,15,241,719,45,5,1,1,5,2,3,7,15,31,31,"(3,1)",719,UP,3,0,15,A,15,45,NON3,MULT3,719,15,5.582957364830778,719,15,5.582957364830778,57.82134450294214,63.404301867772915,70.65435747049705,76.23731483532782,0.5859661147031177,-0.5849625007211561,0.0010036139819614802,4.734960458275829
NAMED_27,27,25,0,719,45,361,1079,135,4,1,1,4,2,3,7,15,15,15,"(3,1)",1079,UP,3,0,45,A,45,135,NON3,MULT3,1079,45,4.5836260531583415,1079,45,4.5836260531583415,63.404301867772915,67.98792792093126,76.23731483532782,80.82094088848616,0.5856311890487191,-0.5849625007211561,0.0006686883275628174,5.320591647324548
NAMED_27,27,26,0,1079,135,541,1619,405,3,1,1,3,2,3,7,7,23,55,"(3,1)",1619,UP,3,0,135,A,135,405,NON3,MULT3,1619,135,3.584071673251736,1619,135,3.584071673251736,67.98792792093126,71.571999594183,80.82094088848616,84.4050125617379,0.585408120814549,-0.5849625007211561,0.0004456200933928937,5.905999768139097
