orbit_id,tier,start_n,status,odd_steps_to_1,terminal_or_cap_state,max_odd_value,max_up_burst,max_critical_alphabet_run,max_critical_grammar_run,first_critical_break_type,count_U1,count_F2,count_F3,count_F4P,fraction_mod8_1,fraction_mod8_3,fraction_mod8_5,fraction_mod8_7,max_cum_reset_deficit,min_cum_reset_deficit,final_cum_reset_deficit,max_cum_best_hidden_deficit,final_cum_best_hidden_deficit,height_cocycle_sum,height_cocycle_endpoint_log2,height_cocycle_error,critical_windows_L8,critical_windows_L16,critical_windows_L32,critical_windows_L64,alphabet_windows_L8,alphabet_windows_L16,alphabet_windows_L32,alphabet_windows_L64
C_43711,TIER_C_RANDOM_1E12,722842703397,REACHED_1,163,1,965804895953,7,16,6,DEEP_FOLD,87,40,18,18,0.24539877300613497,0.26993865030674846,0.22085889570552147,0.26380368098159507,290.87369361571166,-1.4150374992801744,286.85577170771444,442.58045632890105,442.09502950173083,-39.394890782613246,-39.394890782613246,0.0,0,0,0,0,22,1,0,0
C_43712,TIER_C_RANDOM_1E12,831721971697,REACHED_1,108,1,831721971697,5,14,7,DEEP_FOLD,55,28,11,14,0.25925925925925924,0.24074074074074073,0.23148148148148148,0.26851851851851855,180.75891996696433,-1.8300749985603773,176.74099805896705,282.55944579179675,282.07401896462653,-39.597310388127234,-39.597310388127234,0.0,0,0,0,0,19,0,0,0
C_43713,TIER_C_RANDOM_1E12,273938721307,REACHED_1,128,1,21394234669301,8,21,6,CRITICAL_FORBIDDEN_GRAMMAR,71,29,15,13,0.2265625,0.234375,0.21875,0.3203125,271.12016202553224,0.0,259.6346810116152,384.1198548695573,379.02652873038875,-37.995062249524146,-37.995062249524146,0.0,0,0,0,0,28,6,0,0
C_43714,TIER_C_RANDOM_1E12,883221683039,REACHED_1,86,1,4471309770389,5,15,7,CRITICAL_FORBIDDEN_GRAMMAR,50,15,12,9,0.1744186046511628,0.2441860465116279,0.2441860465116279,0.3372093023255814,150.70618369871872,0.0,143.2883311838328,240.69824936537177,235.27198461066968,-39.68398463438799,-39.68398463438799,0.0,0,0,0,0,11,0,0,0
C_43715,TIER_C_RANDOM_1E12,344388360407,REACHED_1,69,1,1178168429249,6,14,5,CRITICAL_FORBIDDEN_GRAMMAR,32,14,12,11,0.2028985507246377,0.2318840579710145,0.3333333333333333,0.2318840579710145,93.84193985298054,0.0,91.77155052508914,176.83183071060503,176.83183071060503,-38.325245427300416,-38.325245427300416,0.0,0,0,0,0,7,0,0,0
C_43716,TIER_C_RANDOM_1E12,258807326785,REACHED_1,68,1,466379206541,7,11,6,DEEP_FOLD,31,18,8,11,0.2647058823529412,0.19117647058823528,0.27941176470588236,0.2647058823529412,101.26250788908963,-0.24511249785180667,99.19211856119823,162.2120487826786,162.2120487826786,-37.91308750408508,-37.91308750408508,0.0,0,0,0,0,5,0,0,0
C_43717,TIER_C_RANDOM_1E12,572267825509,REACHED_1,73,1,572267825509,6,7,5,DEEP_FOLD,30,19,11,13,0.2602739726027397,0.2191780821917808,0.3287671232876712,0.1917808219178082,100.31789312744391,-1.4150374992805297,98.2475037995525,180.32849369543433,180.32849369543433,-39.05789954059465,-39.05789954059465,0.0,0,0,0,0,0,0,0,0
C_43718,TIER_C_RANDOM_1E12,310358534461,REACHED_1,102,1,310358534461,9,14,5,DEEP_FOLD,54,20,16,12,0.19607843137254902,0.22549019607843138,0.27450980392156865,0.30392156862745096,195.38461307386427,-0.41503749928194367,191.366691165867,301.30200928600505,300.81658245883483,-38.17514486248583,-38.17514486248583,0.0,0,0,0,0,13,0,0,0
C_43719,TIER_C_RANDOM_1E12,521635347899,REACHED_1,92,1,880259649581,5,16,6,DEEP_FOLD,46,23,10,13,0.25,0.21739130434782608,0.25,0.2826086956521739,149.33541462334014,0.0,145.31749271534287,236.01758259462764,235.5321557674574,-38.92425067887965,-38.92425067887965,0.0,0,0,0,0,14,1,0,0
C_43720,TIER_C_RANDOM_1E12,160431610495,REACHED_1,83,1,2055843352469,6,12,4,CRITICAL_FORBIDDEN_GRAMMAR,40,20,13,10,0.24096385542168675,0.24096385542168675,0.27710843373493976,0.24096385542168675,128.5321901374614,0.0,125.12684623259271,215.2307770904052,215.2307770904052,-37.22316747365407,-37.22316747365407,0.0,0,0,0,0,6,0,0,0
